artifact_name,artifact_type,sources_count,tables_count,measures_count,visuals_count,visuals_with_measures_count
BigQuery_Analytics,tableau_report,1,3,14,4,4
Complex_Enterprise,tableau_report,2,6,49,16,10
Enterprise_Sales,tableau_report,1,5,33,6,4
Financial_Report,tableau_report,1,4,16,4,4
HR_Analytics,tableau_report,1,2,7,4,4
Manufacturing_IoT,tableau_report,1,5,16,8,6
Marketing_Campaign,tableau_report,1,4,22,6,4
Security_Test,tableau_report,1,3,10,2,0
Superstore_Sales,tableau_report,1,4,10,3,3
Ventes_France,tableau_report,1,6,29,7,6
