artifact_name,artifact_type,sources_count,tables_count,measures_count,visuals_count,visuals_with_measures_count
Cache,tableau_report,2,9,8,1,1
RESTAPISample,tableau_report,1,2,8,3,7
Salesforce,tableau_report,2,15,175,217,52
SampleDS,tableau_report,1,1,1,0,0
SampleWB,tableau_report,1,2,8,3,7
TABLEAU_10_TWB,tableau_report,0,0,0,0,0
TABLEAU_10_TWBX,tableau_report,1,2,1,1,0
datasource_test,tableau_report,1,1,1,2,1
ephemeral_field,tableau_report,1,1,3,2,1
feedback_dashboard,tableau_report,1,3,0,8,5
filtering,tableau_report,1,1,1,2,2
global_superstores_db,tableau_report,1,2,6,16,19
multiple_connections,tableau_report,2,2,0,0,0
nba_player_stats,tableau_report,2,3,3,9,4
sample-superstore,tableau_report,1,2,1,1,1
shapes_test,tableau_report,2,6,7,1,0
superstore_sales_dashboard,tableau_report,1,3,0,5,4
vishnu_dashboard,tableau_report,2,4,8,5,4
