artifact_name,artifact_type,sources_count,tables_count,measures_count,visuals_count,visuals_with_values_count,visuals_with_dax_measures_count
Cache,tableau_report,2,9,7,1,1,0
RESTAPISample,tableau_report,1,2,7,7,7,0
Salesforce,tableau_report,2,15,175,52,52,0
SampleDS,tableau_report,1,1,1,0,0,0
SampleWB,tableau_report,1,2,7,7,7,0
TABLEAU_10_TWB,tableau_report,0,0,0,0,0,0
TABLEAU_10_TWBX,tableau_report,1,2,0,0,0,0
datasource_test,tableau_report,1,1,1,1,1,0
ephemeral_field,tableau_report,1,1,3,1,1,0
feedback_dashboard,tableau_report,1,3,0,5,5,0
filtering,tableau_report,1,1,0,2,2,1
global_superstores_db,tableau_report,1,2,6,19,19,0
multiple_connections,tableau_report,2,2,0,0,0,0
nba_player_stats,tableau_report,2,3,3,4,4,0
sample-superstore,tableau_report,1,2,1,1,1,0
shapes_test,tableau_report,2,6,7,0,0,0
superstore_sales_dashboard,tableau_report,1,3,0,4,4,0
vishnu_dashboard,tableau_report,2,4,8,4,4,0
