artifact_name,artifact_type,sources_count,tables_count,measures_count,pages_count,visuals_count,visuals_with_values_count,visuals_with_dax_measures_count
BigQuery_Analytics,tableau_report,1,3,14,1,4,4,0
Complex_Enterprise,tableau_report,2,6,49,3,16,12,0
Enterprise_Sales,tableau_report,1,5,33,1,6,5,0
Financial_Report,tableau_report,1,4,16,1,4,4,2
HR_Analytics,tableau_report,1,2,7,1,4,4,0
Manufacturing_IoT,tableau_report,1,5,16,2,8,6,0
Marketing_Campaign,tableau_report,1,4,22,1,6,5,0
Security_Test,tableau_report,1,3,10,1,2,2,0
Superstore_Sales,tableau_report,1,4,10,1,3,3,0
Ventes_France,tableau_report,1,6,29,2,7,6,0
